Charge Type,Charge Description,row_count,total_value,Major Category,Subcategory,Method
TOTAL LINE HAUL,TOTAL LINE HAUL,1,508.57,Line Haul / Base Transportation,General / Mode Not Specified,rule
TRANSPORTATION COORD USD,TRANSPORTATION COORD USD,1,3350.0,Line Haul / Base Transportation,General / Mode Not Specified,tfidf_fallback
TRUCK CONGESTION,TRUCK CONGESTION,1,30.0,Line Haul / Base Transportation,Ground,tfidf_fallback
TRUCKING FEE,TRUCKING FEE,2,445.0,Line Haul / Base Transportation,Ground,tfidf_fallback
Tariff Update,Tariff Update,1,10.22,Other / Uncategorized,Unclassified,none
Taxes,Taxes,73,19918.0,Taxes & Customs,Sales / General Tax,rule
Third Party Billing,Third Party Billing,450,1282.04,Administrative & Service Fees,Third Party Billing,rule
Third Party Billing Service,Third Party Billing Service,419,486.03000000000003,Administrative & Service Fees,Third Party Billing,rule
Third Party Billing Service Adjustment,Third Party Billing Service Adjustment,2,0.56,Administrative & Service Fees,Third Party Billing,rule
Tijdlevering,Tijdlevering,2,150.0,Other / Uncategorized,Unclassified,none
Toeslag afgelegen gebied,Toeslag afgelegen gebied,7,265.3,Other / Uncategorized,Unclassified,none
Toeslag afh. afgel. gebied-bestem.,Toeslag afh. afgel. gebied-bestem.,40,1262.0,Other / Uncategorized,Unclassified,none
Toeslag fact. IR/BTW aan verzender,Toeslag fact. IR/BTW aan verzender,1,23.45,Taxes & Customs,VAT,rule
Toeslag groot pakket,Toeslag groot pakket,22,973.61,Other / Uncategorized,Unclassified,none
Toeslag voor papier handelsfacturen,Toeslag voor papier handelsfacturen,11,377.29999999999995,Other / Uncategorized,Unclassified,none
Tolgelden ,Tolgelden ,1,1.33,Other / Uncategorized,Unclassified,none
Toll,Toll,610,3333.31,Accessorial / Delivery Surcharge,Wait Time / Mileage / Toll,rule
Toll (distance based) ,Toll (distance based) ,1,3.84,Accessorial / Delivery Surcharge,Wait Time / Mileage / Toll,rule
Toll charge,Toll charge,2,7.85,Accessorial / Delivery Surcharge,Wait Time / Mileage / Toll,rule
Toll charge (distance based,Toll charge (distance based,1,6.2,Accessorial / Delivery Surcharge,Wait Time / Mileage / Toll,rule
Toll charge ,Toll charge ,1,2.81,Accessorial / Delivery Surcharge,Wait Time / Mileage / Toll,rule
Totaal excl. BTW EUR :,Totaal excl. BTW EUR :,1,45.0,Taxes & Customs,VAT,rule
Transport to Port,Transport to Port,6,3000.0,Line Haul / Base Transportation,Ocean Freight,rule
Transport to port,Transport to port,8,4000.0,Line Haul / Base Transportation,Ocean Freight,rule
Transportation Charge,Transportation Charge,38322,3609934.7600000002,Line Haul / Base Transportation,General / Mode Not Specified,rule
Transportation Charges,Transportation Charges,2,-14432.33,Line Haul / Base Transportation,General / Mode Not Specified,rule
Truck,Truck,3,1750.0,Line Haul / Base Transportation,Ground,tfidf_fallback
UNAUTHORIZED CBS PACKAGE CHRG,UNAUTHORIZED CBS PACKAGE CHRG,10,457.44,Administrative & Service Fees,Package Handling / Storage,tfidf_fallback
UNKNOWN PRODUCT NO DESCRIPTION GIVEN 150 190 MIN -,UNKNOWN PRODUCT NO DESCRIPTION GIVEN 150 190 MIN -,1,158.29,Other / Uncategorized,Unclassified,none
UPS Carbon Offsets,UPS Carbon Offsets,3,0.15000000000000002,Administrative & Service Fees,Sustainability / Carbon Fee,tfidf_fallback
UPS WorldEase Duty and Tax Forwarding Surcharge,UPS WorldEase Duty and Tax Forwarding Surcharge,22,330.0,Taxes & Customs,Duty & Import Tax,rule
UPS WorldEase Fuel Surcharge,UPS WorldEase Fuel Surcharge,1117,8173.78,Fuel Surcharge,International Fuel Surcharge,rule
UPS WorldEase Large Package Surcharge - Length + Girth,UPS WorldEase Large Package Surcharge - Length + Girth,3,705.0,Line Haul / Base Transportation,International / Export / Import Freight,rule
UPS WorldEase Remote Area Surcharge,UPS WorldEase Remote Area Surcharge,4,243.0,Line Haul / Base Transportation,International / Export / Import Freight,rule
UPS WorldEase Residential Surcharge,UPS WorldEase Residential Surcharge,19,123.75,Accessorial / Delivery Surcharge,Residential Delivery/Surcharge,rule
UPS WorldEase Standard to Canada Shipment,UPS WorldEase Standard to Canada Shipment,1116,48077.58,Line Haul / Base Transportation,International / Export / Import Freight,rule
UPS WorldEase Surge Fee - Large Package,UPS WorldEase Surge Fee - Large Package,3,288.0,Line Haul / Base Transportation,International / Export / Import Freight,rule
UPS WorldEase Worldwide Saver Shipment,UPS WorldEase Worldwide Saver Shipment,1,71.84,Line Haul / Base Transportation,International / Export / Import Freight,rule
US EXPORT COMPLIANCE FEE,US EXPORT COMPLIANCE FEE,3,45.0,Line Haul / Base Transportation,International / Export / Import Freight,rule
US Inbound Processing Fee,US Inbound Processing Fee,159,452.27,Taxes & Customs,Customs / Brokerage,tfidf_fallback
Uitzonderlijke toeslag  Zakelijk,Uitzonderlijke toeslag  Zakelijk,8,148.27,Other / Uncategorized,Unclassified,none
