carrier,service_name,service_tier,zone,weight_min_lbs,weight_max_lbs,rate_type,rate_usd,effective_date,source_file
FedEx,FedEx 2Day,2DAY,8,26.0,26.0,flat_per_package,269.72,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,27.0,27.0,flat_per_package,69.22,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,27.0,27.0,flat_per_package,81.95,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,27.0,27.0,flat_per_package,105.57,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,27.0,27.0,flat_per_package,165.6,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,27.0,27.0,flat_per_package,244.99,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,27.0,27.0,flat_per_package,269.36,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,27.0,27.0,flat_per_package,278.19,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,28.0,28.0,flat_per_package,71.44,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,28.0,28.0,flat_per_package,85.83,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,28.0,28.0,flat_per_package,108.0,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,28.0,28.0,flat_per_package,169.54,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,28.0,28.0,flat_per_package,251.25,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,28.0,28.0,flat_per_package,276.32,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,28.0,28.0,flat_per_package,284.92,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,29.0,29.0,flat_per_package,72.61,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,29.0,29.0,flat_per_package,86.22,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,29.0,29.0,flat_per_package,111.19,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,29.0,29.0,flat_per_package,173.58,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,29.0,29.0,flat_per_package,258.02,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,29.0,29.0,flat_per_package,283.23,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,29.0,29.0,flat_per_package,293.41,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,30.0,30.0,flat_per_package,72.98,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,30.0,30.0,flat_per_package,88.56,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,30.0,30.0,flat_per_package,115.04,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,30.0,30.0,flat_per_package,179.24,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,30.0,30.0,flat_per_package,265.09,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,30.0,30.0,flat_per_package,290.89,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,30.0,30.0,flat_per_package,300.84,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,31.0,31.0,flat_per_package,73.18,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,31.0,31.0,flat_per_package,91.53,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,31.0,31.0,flat_per_package,118.15,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,31.0,31.0,flat_per_package,183.27,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,31.0,31.0,flat_per_package,271.15,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,31.0,31.0,flat_per_package,297.18,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,31.0,31.0,flat_per_package,308.89,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,32.0,32.0,flat_per_package,74.2,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,32.0,32.0,flat_per_package,93.57,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,32.0,32.0,flat_per_package,121.51,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,32.0,32.0,flat_per_package,187.7,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,32.0,32.0,flat_per_package,279.1,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,32.0,32.0,flat_per_package,305.44,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,32.0,32.0,flat_per_package,316.34,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,33.0,33.0,flat_per_package,79.57,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,33.0,33.0,flat_per_package,96.0,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,33.0,33.0,flat_per_package,124.89,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,33.0,33.0,flat_per_package,191.7,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,33.0,33.0,flat_per_package,286.59,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,33.0,33.0,flat_per_package,312.47,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,33.0,33.0,flat_per_package,324.39,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,34.0,34.0,flat_per_package,82.85,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,34.0,34.0,flat_per_package,99.27,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,34.0,34.0,flat_per_package,127.52,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,34.0,34.0,flat_per_package,198.41,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,34.0,34.0,flat_per_package,295.25,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,34.0,34.0,flat_per_package,320.23,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,34.0,34.0,flat_per_package,332.37,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,35.0,35.0,flat_per_package,84.51,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,35.0,35.0,flat_per_package,100.75,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,4,35.0,35.0,flat_per_package,130.27,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,5,35.0,35.0,flat_per_package,202.34,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,6,35.0,35.0,flat_per_package,304.12,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,7,35.0,35.0,flat_per_package,327.28,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,8,35.0,35.0,flat_per_package,333.83,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,2,36.0,36.0,flat_per_package,85.03,2026-01-05,2Day.csv
FedEx,FedEx 2Day,2DAY,3,36.0,36.0,flat_per_package,102.96,2026-01-05,2Day.csv
